ID,DemHomeOwner,LostCustomer,regionPctCustomers,numOfTotalReturns,wksSinceLastPurch,customerGender,basktPurchCount12Month,LastPurchaseAmount,AvgPurchaseAmount12,AvgPurchaseAmountTotal,EstimatedIncome,regionMedHomeVal,intAdExposureCount12,intAdExposureCount36,intAdExposureCountAll,customerSubscrStat,socialMediaAdCount12,socialMediaAdCount36,socialMediaAdCountAll,totalNumProdPurchased,custInitiatedContacts,CustomerAge,avgDiscountValue12,customersales,techSupportEval,wksSinceFirstPurch,Review_Text,Title
9155,U,0,43,0,14,F,10,    $50.00,     $0.00,    $55.65,"$93,000.00","$59,280.00",27,27,58,Platinum,3,3,10,8,1,          19,       .,   $355.08,           3,89,,
9160,H,0,19,1,19,M,3,    $50.00,    $62.50,    $61.90,"$84,000.00",$170820.00,13,30,61,Platinum,6,14,20,8,2,          50,    $15.00,   $546.14,           3,89,,
9163,H,0,19,0,7,F,10,    $50.00,     $0.00,    $35.20,$140000.00,"$92,430.00",32,32,95,Platinum,4,4,28,25,3,          18,       .,   $355.03,           2,148,,
9170,U,0,33,5,7,F,2,    $50.00,    $40.00,    $34.75,$142000.00,"$53,430.00",31,48,78,Platinum,4,14,20,22,3,          18,     $8.00,   $316.33,           2,93,,
9175,H,0,22,0,6,F,10,    $50.00,     $0.00,    $62.95,"$83,000.00",$443690.00,40,40,126,Platinum,8,8,27,27,3,          22,       .,   $343.20,           2,137,,
9190,U,0,30,0,20,M,5,    $55.00,    $55.00,    $80.20,"$66,000.00",$107770.00,29,47,124,Platinum,5,5,29,26,3,          18,       .,   $513.57,           2,150,,
9195,H,0,27,1,18,M,3,    $70.00,    $65.00,    $54.65,"$94,000.00",$102960.00,13,33,67,Platinum,5,14,24,14,2,          18,    $12.00,   $540.96,           2,102,,
9198,U,0,38,0,26,M,10,    $90.00,     $0.00,    $53.15,"$97,000.00","$84,890.00",26,26,76,Platinum,5,5,21,8,2,          24,       .,   $665.30,           3,116,,
9226,U,1,22,2,13,F,3,    $50.00,    $50.00,    $48.60,$105000.00,$338000.00,29,46,118,Platinum,6,14,30,29,3,           .,    $10.00,   $365.62,           2,139,,
9235,U,0,37,3,17,F,1,   $100.00,    $67.85,    $44.25,$114000.00,$442520.00,10,24,58,Platinum,4,13,19,27,3,           .,    $13.33,   $509.97,           3,149,,
9266,H,0,29,0,15,M,10,    $25.00,     $0.00,    $67.50,"$78,000.00",$153530.00,34,34,73,Platinum,4,4,16,6,1,          19,       .,   $504.30,           2,92,,
9272,U,0,37,0,4,F,10,    $50.00,     $0.00,    $53.75,"$96,000.00","$89,830.00",28,28,90,Platinum,4,4,26,12,3,          19,       .,   $347.09,           2,152,,
